revisionId	branch	timestamp	comment	parent1	parent2
7590:d1c4f99c2f3e	infinica_5.0	Mon Oct 03 11:11:13 CEST 2016	Bogdan Mustiata	Fixed promises chaining on autosaving of the document.	7539:c9cc2790c716	null
7589:9fab5ac9dcf5	infinica_5.1	Mon Oct 03 11:11:13 CEST 2016	Bogdan Mustiata	Fixed promises chaining on autosaving of the document.	null	null
7588:78dc38acbf85	infinica_5.1	Fri Sep 30 18:05:37 CEST 2016	Bogdan Mustiata	Fixed page right and left, added ComposerSaveToolbarButtons configuration, more tests fixes.	null	null
7587:c57690e76dae	infinica_5.1	Fri Sep 30 16:16:08 CEST 2016	Bogdan Mustiata	Moving and editing BBs unsing the handles works now.	null	null
7586:113146207074	infinica_5.1	Mon Oct 03 10:11:41 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7580:a98db8689ced	7580:a98db8689ced
7585:3afa1523ce7c	infinica_5.1_mbranicky	Mon Oct 03 10:09:34 CEST 2016	mbranicky	Merge with infinica_5.1	7584:dbfccdf86afd	7584:dbfccdf86afd
7584:dbfccdf86afd	infinica_5.1_mbranicky	Mon Oct 03 08:59:06 CEST 2016	mbranicky	WP-873 Make comments correctly displayed in WP's color themes - code optimizations.	null	null
7583:d25dcb586101	infinica_5.1_mbranicky	Sun Oct 02 16:11:37 CEST 2016	mbranicky	WP-873 Make comments correctly displayed in WP's color themes - pumpkin and spring themes done	null	null
7582:2f2c3eb67a03	infinica_5.1_mbranicky	Fri Sep 30 17:53:31 CEST 2016	mbranicky	WP-873 Make comments correctly displayed in WP's color themes - neutral theme done	null	null
7581:63f3d0a82adf	infinica_5.1_mbranicky	Fri Sep 30 17:21:15 CEST 2016	mbranicky	WP-873 Make comments correctly displayed in WP's color themes - marine theme done	7561:9e8cb12524ca	null
7580:a98db8689ced	infinica_5.1	Fri Sep 30 17:26:54 CEST 2016	Michal Oravec	Merge	7579:9bf2ffe0aee8	7579:9bf2ffe0aee8
7579:9bf2ffe0aee8	infinica_5.1	Fri Sep 30 17:24:19 CEST 2016	Michal Oravec	WP rt updates and JMeter drafts	7554:edf858f005eb	null
7578:71df4a34a71e	infinica_5.1	Fri Sep 30 17:22:03 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7575:798bcb9aa7a2	7575:798bcb9aa7a2
7577:e2bfdb6d15ea	infinica_5.1_mkovalik	Fri Sep 30 17:20:52 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7576:799200f97cb7	7576:799200f97cb7
7576:799200f97cb7	infinica_5.1_mkovalik	Fri Sep 30 13:55:51 CEST 2016	Matej Kovalik	WP-881 - Selectable columns check-boxes do not reflect the state of the table	7551:b9a9179b7f4a	null
7575:798bcb9aa7a2	infinica_5.1	Fri Sep 30 15:24:55 CEST 2016	totht	Fixed Spell-Checking Service Testcases	null	null
7574:290a443cc629	infinica_5.1	Fri Sep 30 14:33:59 CEST 2016	totht	Fix the IE leading space issue	null	null
7573:a6c38b2f781e	infinica_5.1	Fri Sep 30 12:44:37 CEST 2016	totht	Hot-fix	null	null
7572:25758f373f88	infinica_5.1	Fri Sep 30 14:33:39 CEST 2016	Bogdan Mustiata	Fixed changing parameters for a BB.	null	null
7571:21740bf9d711	infinica_5.1	Fri Sep 30 13:43:07 CEST 2016	Bogdan Mustiata	Fixed rendering to work now with the parameters as well.	null	null
7570:e7c716c1a585	infinica_5.1	Fri Sep 30 12:29:30 CEST 2016	mleitner	fixed test problems after merge	null	null
7569:34d7524af691	infinica_5.1	Thu Sep 29 17:55:55 CEST 2016	mleitner	fixed compile errors after merge	null	null
7568:808588b2a065	infinica_5.1	Thu Sep 29 17:09:34 CEST 2016	mleitner	Merge with infinica_5.0	7567:7f72ad4591c5	7567:7f72ad4591c5
7567:7f72ad4591c5	infinica_5.1	Fri Sep 30 12:11:55 CEST 2016	Bogdan Mustiata	Set the head nodes with a promise. Test if the metadata node is set.	7565:2064670ecdd8	null
7566:298be413cd5b	infinica_5.1_tmertes	Fri Sep 30 11:50:25 CEST 2016	tmertes	Merge with infinica_5.1	7564:3f16c9483ee3	7564:3f16c9483ee3
7565:2064670ecdd8	infinica_5.1	Fri Sep 30 11:49:23 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7563:830a64f36d9a	7563:830a64f36d9a
7564:3f16c9483ee3	infinica_5.1_tmertes	Fri Sep 30 11:48:16 CEST 2016	tmertes	Merge with infinica_5.1	7558:d67bc152055c	7558:d67bc152055c
7563:830a64f36d9a	infinica_5.1	Fri Sep 30 11:22:22 CEST 2016	Bogdan Mustiata	Check also for the BB not to be autoparagraphed.	null	null
7562:dadee42de6cd	infinica_5.1	Fri Sep 30 11:36:19 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7556:7224bdcac466	7556:7224bdcac466
7561:9e8cb12524ca	infinica_5.1_mbranicky	Fri Sep 30 11:35:33 CEST 2016	mbranicky	Merge with infinica_5.1	7560:f2796d4a7e13	7560:f2796d4a7e13
7560:f2796d4a7e13	infinica_5.1_mbranicky	Fri Sep 30 11:33:15 CEST 2016	mbranicky	WP-884 Check current composer comments and fix problems	null	null
7559:3fc559031698	infinica_5.1_mbranicky	Fri Sep 30 07:03:32 CEST 2016	mbranicky	Fix for debug-pipeline-variables HT. Fallback to text/plain syntax highlight for unsupported data types.	7546:c21cb0a92dce	null
7558:d67bc152055c	infinica_5.1_tmertes	Fri Sep 30 11:28:52 CEST 2016	tmertes	Merge with infinica_5.1	7557:d0134fce3c36	7557:d0134fce3c36
7557:d0134fce3c36	infinica_5.1_tmertes	Fri Sep 30 11:27:21 CEST 2016	tmertes	TD-2200: Table column size configurable in Outline View	7534:30f3e5948019	null
7556:7224bdcac466	infinica_5.1	Thu Sep 29 17:50:17 CEST 2016	totht	Imporve filler elements handling	null	null
7555:33bab3f64743	infinica_5.1	Thu Sep 29 17:13:58 CEST 2016	Bogdan Mustiata	Fixed the asserts in the loading.	null	null
7554:edf858f005eb	infinica_5.1	Thu Sep 29 18:38:20 CEST 2016	Michal Oravec	Merge	7553:53c4b3d1523c	7553:53c4b3d1523c
7553:53c4b3d1523c	infinica_5.1	Thu Sep 29 18:35:41 CEST 2016	Michal Oravec	WP rt updates and backups	7523:fb75ea436280	null
7552:122fb15df146	infinica_5.1	Thu Sep 29 18:19:24 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7547:b3e64270b5aa	7547:b3e64270b5aa
7551:b9a9179b7f4a	infinica_5.1_mkovalik	Thu Sep 29 18:17:02 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7550:7fbaf3e3ab5d	7550:7fbaf3e3ab5d
7550:7fbaf3e3ab5d	infinica_5.1_mkovalik	Thu Sep 29 14:04:18 CEST 2016	Matej Kovalik	WP-879 - multi-select issues	null	null
7549:25fff4a9c909	infinica_5.1_mkovalik	Thu Sep 29 12:18:17 CEST 2016	Matej Kovalik	WP-880 - Select-all checkbox - Document List HT	null	null
7548:e526123f0d8b	infinica_5.1_mkovalik	Wed Sep 28 16:56:42 CEST 2016	Matej Kovalik	WP-880 - Email validator	7516:68b7cc1f9516	null
7547:b3e64270b5aa	infinica_5.1	Thu Sep 29 17:52:03 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7537:d48be0d7049c	7537:d48be0d7049c
7546:c21cb0a92dce	infinica_5.1_mbranicky	Thu Sep 29 17:50:18 CEST 2016	mbranicky	Merge with infinica_5.1	7545:b2fbee0cd1e2	7545:b2fbee0cd1e2
7545:b2fbee0cd1e2	infinica_5.1_mbranicky	Thu Sep 29 17:49:14 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - commented parts removed.	null	null
7544:a143e973a8ca	infinica_5.1_mbranicky	Thu Sep 29 17:39:40 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - bugfixes and styling improvements.	null	null
7543:913a57223b4c	infinica_5.1_mbranicky	Thu Sep 29 13:20:22 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - bugfixes and comments can be hidden by header bar mouse click.	null	null
7542:182bf0f85f62	infinica_5.1_mbranicky	Thu Sep 29 12:52:10 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - toolbar comment icon synchronization with latest comment.	null	null
7541:128a7dae55a9	infinica_5.1_mbranicky	Thu Sep 29 08:03:09 CEST 2016	mbranicky	WP-841 - Vaadin formatted excel output file broken	7529:eac9c8706cf4	null
7540:6d2ccaab0c64	infinica_5.1_tthonhofer	Thu Sep 29 17:39:02 CEST 2016	tthonhofer	Created Task Metadata	7442:290b91698120	null
7539:c9cc2790c716	infinica_5.0	Thu Sep 29 16:16:52 CEST 2016	mleitner	allow setting of the AES key for Serializer in convertTemplate activity	null	null
